Title：Population by single age ,,,,,,,,,,,,,
Search Year：2013~2023,,,,,,,,,,,,,
Source：National Development Council,,,,,,,,,,,,,
Population Projections for the R.O.C (Taiwan),,,,,,,,,,,,,
Table URL：https://pop-proj.ndc.gov.tw/main_en/Custom_Detail_Statistics_Search.aspx?n=175&_Query=a72e3e04-f1f9-4bf2-b143-6330a2939e81,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Variant,Gender,Age,Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons)
Medium,Male,'0,95153,102859,104752,102046,95090,88146,87291,81634,77117,68164,75567
Medium,Male,'1,122796,102420,110605,112299,108888,102220,94647,91961,84284,82066,78901
Medium,Male,'2,104333,123040,102614,110764,112410,109010,102418,94706,91675,84731,80775
Medium,Male,'3,88242,104313,122936,102610,110720,112362,109031,102231,93923,91500,85048
Medium,Male,'4,101689,88248,104302,122930,102612,110652,112352,108789,101276,93707,91963
Medium,Male,'5,104238,101746,88251,104337,122946,102621,110652,112154,107917,101037,93908
Medium,Male,'6,107868,104293,101733,88252,104314,122851,102538,110400,111257,107499,101382
Medium,Male,'7,108289,107790,104231,101685,88178,104229,122720,102322,109413,110688,107983
Medium,Male,'8,108628,108255,107739,104126,101632,88112,104183,122483,101441,108848,111141
Medium,Male,'9,114695,108617,108250,107711,104081,101598,88111,103969,121452,100908,109273
Medium,Male,'10,119255,114732,108646,108195,107711,104059,101602,87925,103175,120879,101312
Medium,Male,'11,128823,119233,114750,108575,108141,107678,104051,101384,87155,102647,121430
Medium,Male,'12,133775,128805,119184,114687,108537,108104,107657,103820,100556,86757,102990
Medium,Male,'13,159708,133747,128769,119139,114611,108496,108079,107419,103015,100109,87017
Medium,Male,'14,147609,159666,133724,128710,119086,114583,108470,107863,106576,102584,100384
Medium,Male,'15,138999,147581,159666,133726,128699,119092,114601,108254,107099,106223,102734
Medium,Male,'16,168113,138961,147563,159589,133670,128627,119073,114331,107545,106703,106349
Medium,Male,'17,167310,167970,138849,147434,159409,133533,128522,118737,113627,107147,106982
Medium,Male,'18,167598,167245,167866,138767,147394,159360,133486,128224,118135,113349,107325
Medium,Male,'19,167119,167564,167160,167804,138696,147349,159323,133273,127679,117908,113457
Medium,Male,'20,168268,166938,167425,167012,167639,138584,147230,159022,132702,127471,118035
Medium,Male,'21,166122,168149,166788,167266,166828,167497,138448,146959,158454,132366,127473
Medium,Male,'22,165427,166029,168015,166642,167086,166677,167341,138196,146382,158016,132574
Medium,Male,'23,173630,165318,165958,167887,166519,166921,166556,167071,137698,145999,158141
Medium,Male,'24,159735,173511,165220,165800,167712,166352,166762,166315,166449,137381,146200
Medium,Male,'25,175040,159587,173340,165040,165619,167510,166192,166441,165472,165949,137631
Medium,Male,'26,158230,174871,159420,173164,164827,165437,167332,165851,165410,164836,166237
Medium,Male,'27,152950,158142,174719,159248,172967,164652,165281,167013,164756,164705,165094
Medium,Male,'28,171248,152819,157981,174528,159071,172776,164493,164994,165887,164046,164941
Medium,Male,'29,184703,171103,152673,157834,174335,158884,172601,164170,163826,165167,164290
Medium,Male,'30,189769,184518,170910,152496,157661,174117,158728,172227,163043,163089,165346
Medium,Male,'31,199808,189571,184265,170711,152303,157449,173938,158442,170928,162307,163332
Medium,Male,'32,205228,199586,189335,184056,170482,152079,157265,173577,157286,170117,162416
Medium,Male,'33,201675,204931,199301,189050,183769,170243,151877,156906,172303,156538,170312
Medium,Male,'34,206865,201379,204648,199042,188779,183542,170028,151546,155891,171437,156609
Medium,Male,'35,200916,206576,201019,204328,198771,188513,183346,169602,150571,155062,171673
Medium,Male,'36,190264,200567,206251,200699,204004,198481,188264,182945,168541,149804,155377
Medium,Male,'37,207575,190163,200514,206181,200607,203847,198350,187928,181847,167820,149888
Medium,Male,'38,178254,207215,189719,200173,205881,200360,203624,197873,186819,180896,167775
Medium,Male,'39,175392,177838,206742,189311,199812,205492,200003,203080,196623,185941,181054
Medium,Male,'40,175376,174908,177415,206280,188906,199421,205106,199434,201781,195717,185805
Medium,Male,'41,174008,174856,174480,176920,205803,188413,198960,204505,197968,200692,195602
Medium,Male,'42,179928,173523,174317,174000,176395,205249,187947,198258,203017,196829,200422
Medium,Male,'43,184975,179342,172902,173745,173469,175841,204654,187280,196735,201828,196632
Medium,Male,'44,185582,184316,178722,172285,173098,172929,175345,203813,185792,195484,201460
Medium,Male,'45,185377,184860,183594,178087,171655,172455,172277,174604,202054,184518,195315
Medium,Male,'46,176724,184637,184101,182808,177330,170996,171841,171518,173087,200675,184007
Medium,Male,'47,188499,175961,183830,183318,182083,176565,170317,171020,169939,171670,200143
Medium,Male,'48,185742,187524,175128,182953,182454,181271,175867,169440,169418,168500,171271
Medium,Male,'49,188952,184759,186464,174217,182054,181604,180405,174836,167839,167941,168056
Medium,Male,'50,190614,187901,183750,185417,173240,181140,180710,179399,173082,166352,167417
Medium,Male,'51,187608,189490,186834,182653,184415,172304,180130,179532,177600,171498,165728
Medium,Male,'52,184412,186464,188311,185634,181578,183300,171315,178893,177559,175777,170802
Medium,Male,'53,182132,183203,185234,187009,184437,180395,182241,170033,176952,175786,174953
Medium,Male,'54,179158,180869,181971,184003,185695,183136,179209,180806,168011,175151,174869
Medium,Male,'55,172850,177816,179550,180592,182660,184400,181854,177831,178618,166256,174162
Medium,Male,'56,163206,171518,176354,178158,179207,181249,183060,180312,175662,176610,165055
Medium,Male,'57,168292,161865,170105,174897,176622,177815,179799,181490,177914,173655,175421
Medium,Male,'58,163981,166884,160393,168541,173386,175131,176252,178040,179078,175701,172250
Medium,Male,'59,153746,162531,165282,158856,166972,171764,173502,174422,175497,176703,174422
Medium,Male,'60,147295,152212,160962,163750,157365,165424,170127,171533,171778,173082,175244
Medium,Male,'61,143426,145746,150674,159342,162150,155730,163813,168112,168648,169461,171714
Medium,Male,'62,144003,141911,144112,148902,157625,160440,154137,161785,165163,166226,167530
Medium,Male,'63,121027,142312,140094,142372,147135,155859,158548,152154,158844,162603,164316
Medium,Male,'64,111163,119494,140495,138279,140638,145268,154053,156326,149196,156291,160579
Medium,Male,'65,97422,109600,117931,138573,136459,138964,143434,151685,153154,146724,154336
Medium,Male,'66,84600,95978,107913,116205,136578,134583,137102,141081,148440,150491,144646
Medium,Male,'67,67689,83121,94380,106174,114352,134499,132493,134745,137626,145804,148266
Medium,Male,'68,59708,66356,81590,92697,104418,112406,132218,130061,131376,134905,142894
Medium,Male,'69,69094,58529,65005,80033,90802,102503,110420,129518,126378,128499,132428
Medium,Male,'70,69169,67516,57259,63521,78406,88957,100400,108057,125817,123498,125875
Medium,Male,'71,66308,67445,65874,55922,61964,76704,86932,97994,104739,122652,120335
Medium,Male,'72,65580,64488,65697,64132,54470,60437,74920,84591,94532,101845,119605
Medium,Male,'73,63141,63592,62667,63698,62339,52914,58817,72803,81465,91747,98929
Medium,Male,'74,58050,61034,61601,60656,61698,60414,51289,57042,69966,78604,88739
Medium,Male,'75,52821,56020,58849,59419,58539,59607,58386,49491,54556,67415,75851
Medium,Male,'76,49875,50771,53786,56531,57174,56269,57471,56193,47136,52180,64451
Medium,Male,'77,45790,47676,48440,51396,54134,54837,54109,55146,53467,45021,50367
Medium,Male,'78,43600,43433,45363,46087,48955,51671,52491,51643,52430,50753,43001
Medium,Male,'79,40670,41196,41207,42957,43696,46535,49205,49950,48853,49627,48438
Medium,Male,'80,38268,38198,38750,38691,40418,41196,44083,46553,47010,45860,47083
Medium,Male,'81,37688,35751,35757,36182,36226,37858,38775,41494,43469,43841,43471
Medium,Male,'82,37479,34977,33156,33033,33632,33725,35258,36149,38537,40091,41251
Medium,Male,'83,36400,34533,32236,30488,30450,30991,31183,32670,33287,35307,37577
Medium,Male,'84,32256,33143,31448,29305,27896,27851,28339,28634,29814,30156,32933
Medium,Male,'85,28669,29101,29972,28352,26643,25292,25244,25721,25937,26604,27788
Medium,Male,'86,24772,25593,26136,26729,25440,23925,22702,22698,23035,22821,24611
Medium,Male,'87,21325,21958,22708,23046,23668,22573,21249,20198,20028,20101,20886
Medium,Male,'88,17602,18520,19286,19818,20200,20647,19835,18720,17548,17174,18194
Medium,Male,'89,12992,15157,16065,16598,17061,17451,17871,17200,16047,14802,15420
Medium,Male,'90,10055,11044,12898,13691,14115,14596,14816,15183,14637,13309,13184
Medium,Male,'91,8378,8437,9281,10756,11458,11887,12259,12504,12614,11867,11850
Medium,Male,'92,6646,6936,6935,7541,8856,9477,9776,10202,10271,10087,10348
Medium,Male,'93,4434,5318,5646,5622,6127,7205,7762,8020,8294,8004,8584
Medium,Male,'94,3135,3529,4310,4544,4431,4912,5740,6184,6361,6387,6882
Medium,Male,'95,2217,2453,2801,3392,3564,3483,3812,4546,4863,4740,5233
Medium,Male,'96,1593,1747,1913,2126,2619,2750,2667,2956,3487,3543,3992
Medium,Male,'97,1068,1214,1331,1418,1598,2003,2135,2053,2235,2475,2752
Medium,Male,'98,760,796,910,990,1080,1210,1490,1658,1548,1555,1927
Medium,Male,'99,587,561,597,671,724,819,881,1132,1203,1043,1231
Medium,Male,'100 +,1418,1452,1442,1404,1521,1568,1687,1877,2099,2197,1762
Medium,Female,'0,88591,96416,96771,94827,88352,82426,80920,75673,72201,63444,70520
Medium,Female,'1,114499,95171,103634,103708,101293,95040,88568,85412,78043,76874,73501
Medium,Female,'2,96768,114740,95359,103826,103890,101475,95249,88570,85175,78501,75698
Medium,Female,'3,81108,96787,114700,95353,103796,103869,101472,95092,87804,85081,78871
Medium,Female,'4,93772,81132,96782,114700,95348,103779,103853,101234,94242,87665,85413
Medium,Female,'5,95195,93830,81148,96805,114741,95320,103787,103659,100319,94020,87894
